Weight Height Age Circumference
65.6 174 21 71.5
80.7 193.5 28 83.2
72.6 186.5 23 77.8
78.8 187.2 22 80
74.8 181.5 21 82.5
86.4 184 26 82
78.4 184.5 27 76.8
62 175 23 68.5
81.6 184 21 77.5
76.6 180 23 81.9
83.6 177.8 22 82.6
90 192 20 85
74.6 176 26 85.6
71 174 23 78
79.6 184 22 82
70 171.5 22 73.6
72.4 173 29 78.5
85.9 176 22 87.3
78.8 176 22 92
77.8 180.5 20 80
81.8 173.5 26 81.4
89.6 178 24 89.5
82.8 180.3 21 85
76.4 180.3 24 73.5
63.2 164.5 23 75.8
74.8 183.5 23 77.5
70 175.5 25 74
72.4 188 23 74
84.1 189.2 23 82
69.1 172.8 23 73
67.2 182 22 75
68.6 177.8 22 78.8
80.1 184.2 24 77.5
84.7 171.4 23 84.9
73.4 172.7 24 79.1
72.1 175.3 35 77.9
82.6 180.3 29 91.7
88.7 182.9 25 86.6
84.1 188 23 84.7
94.1 177.2 20 90.3
74.9 172.1 25 79.7
59.1 167 29 73.1
75.6 169.5 23 79.8
86.2 174 23 81.6
75.3 172.7 36 76.8
55.2 164.1 24 73.3
57 163 20 69.9
61.4 171.5 52 72.7
86.8 174 46 90.1
72.2 174 51 82.9
71.6 177 28 77.9
84.8 186 48 92.5
68.2 167 35 77.8
66.1 171.8 23 72.7
72 182 23 75
64.6 167 62 76
74.8 177.8 21 82.7
70 164.5 26 80
101.6 192 33 107.1
63.2 175.5 36 76.2
78.9 181.6 40 89.4
67.7 167.4 27 80.9
66 181.1 27 73.5
68.2 177 23 70.9
63.9 174.5 31 76.1
72 177.5 26 81
56.8 170.5 23 72
74.5 182.4 24 76.8
90.9 197.1 24 86
93 180.1 34 98.5
80.9 175.5 21 79
72.7 180.6 25 77.5
68 184.4 34 75.2
72.5 180.6 40 79.6
72.5 177 21 75.2
73 176.5 29 79.9
70.2 175 27 73.5
70.5 165.1 26 81.5
102.3 192 37 104
68.4 176.5 38 76.2
75.7 182.1 21 81
84.5 179.8 24 88.8
87.7 175.3 45 94
86.4 184.9 25 83.4
73.2 177.3 22 77
55.5 168.9 20 68
58.4 157.2 20 80.6
83.2 180.3 32 88.6
72.7 170.2 23 81.1
64.1 177.8 25 70.8
72.3 172.7 27 73.3
65 165.1 21 75.9
65 165.1 25 75
88.6 174 38 101
84.1 175.3 44 90
66.8 185.4 27 75
75.5 177.8 37 75.9
58 177.8 25 67.1
79.5 177.8 21 82.5
78.6 177.8 30 83.7
71.8 177.8 26 76.7
72.2 163.8 33 90.6
83.6 188 29 85.7
85.5 198.1 27 82.5
90.9 175.3 34 94.7
85.9 166.4 42 105.2
89.1 190.5 29 86
75 166.4 41 90.9
77.7 177.8 43 92.4
86.4 179.7 43 96.5
90.9 172.7 29 98.4
73.6 190.5 27 76.7
76.4 185.4 62 94.8
69.1 168.9 33 80.1
84.5 167.6 45 97.4
69.1 170.2 20 76.1
108.6 190.5 22 95.6
86.4 177.8 51 101
80.9 190.5 34 84.5
87.7 177.8 44 98
80.2 176.5 34 87.8
71.4 180.3 28 81.8
72.7 171.4 31 84.4
76.8 172.7 42 90
63.6 177.8 29 72.9
80.9 177.8 31 81
85.5 170.2 27 93.9
68.6 167.6 25 77
67.7 175.3 24 75
66.4 165.1 33 80.6
102.3 185.4 45 100.5
70.5 181.6 37 81.2
95.9 172.7 44 103.4
84.1 190.5 34 90.3
71.8 175.3 43 86.5
65.9 170.2 24 77.9
95.9 193 22 89.1
91.4 171.4 38 93.9
96.8 177.8 29 98.5
69.1 167.6 25 79.5
82.7 167.6 37 94.9
75.5 180.3 30 76.5
79.5 182.9 26 88.4
73.6 176.5 35 84.2
91.8 186.7 29 87.6
85.9 188 37 92.1
81.8 177.8 34 89.9
82.5 174 28 88.7
80.5 177.8 27 83.9
70 171.4 32 79.5
81.8 185.4 28 84.5
84.1 185.4 22 89.2
90.5 188 44 90.7
91.4 188 25 88.8
89.1 182.9 49 103.6
85 176.5 54 98.5
69.1 175.3 49 82.9
73.6 175.3 60 90.5
80.5 188 42 84.5
82.7 188 52 86
86.4 175.3 23 84.2
92.7 179.1 46 112.1
93.6 177.8 43 99.7
75 182.9 21 80.3
93.2 170.8 18 98.6
93.2 188 21 90
61.4 177.8 22 80.2
83.6 185.4 29 81
85.5 180.3 40 88.8
73.9 174 24 78.1
66.8 167.6 62 81.5
87.3 182.9 26 87.6
72.3 160 35 92.5
88.6 180.3 37 97
101.4 186.7 25 99.5
91.1 175.3 30 93.8
