"Weight" "Height" "Age" "Circumference"
"1" 65.6 174 21 71.5
"3" 80.7 193.5 28 83.2
"4" 72.6 186.5 23 77.8
"5" 78.8 187.2 22 80
"6" 74.8 181.5 21 82.5
"7" 86.4 184 26 82
"8" 78.4 184.5 27 76.8
"9" 62 175 23 68.5
"10" 81.6 184 21 77.5
"11" 76.6 180 23 81.9
"12" 83.6 177.8 22 82.6
"13" 90 192 20 85
"14" 74.6 176 26 85.6
"15" 71 174 23 78
"16" 79.6 184 22 82
"18" 70 171.5 22 73.6
"19" 72.4 173 29 78.5
"20" 85.9 176 22 87.3
"21" 78.8 176 22 92
"22" 77.8 180.5 20 80
"25" 81.8 173.5 26 81.4
"26" 89.6 178 24 89.5
"27" 82.8 180.3 21 85
"28" 76.4 180.3 24 73.5
"29" 63.2 164.5 23 75.8
"31" 74.8 183.5 23 77.5
"32" 70 175.5 25 74
"33" 72.4 188 23 74
"34" 84.1 189.2 23 82
"35" 69.1 172.8 23 73
"37" 67.2 182 22 75
"39" 68.6 177.8 22 78.8
"40" 80.1 184.2 24 77.5
"42" 84.7 171.4 23 84.9
"43" 73.4 172.7 24 79.1
"44" 72.1 175.3 35 77.9
"45" 82.6 180.3 29 91.7
"46" 88.7 182.9 25 86.6
"47" 84.1 188 23 84.7
"48" 94.1 177.2 20 90.3
"49" 74.9 172.1 25 79.7
"50" 59.1 167 29 73.1
"51" 75.6 169.5 23 79.8
"52" 86.2 174 23 81.6
"53" 75.3 172.7 36 76.8
"55" 55.2 164.1 24 73.3
"56" 57 163 20 69.9
"57" 61.4 171.5 52 72.7
"59" 86.8 174 46 90.1
"60" 72.2 174 51 82.9
"61" 71.6 177 28 77.9
"62" 84.8 186 48 92.5
"63" 68.2 167 35 77.8
"64" 66.1 171.8 23 72.7
"65" 72 182 23 75
"66" 64.6 167 62 76
"67" 74.8 177.8 21 82.7
"68" 70 164.5 26 80
"69" 101.6 192 33 107.1
"70" 63.2 175.5 36 76.2
"72" 78.9 181.6 40 89.4
"73" 67.7 167.4 27 80.9
"74" 66 181.1 27 73.5
"75" 68.2 177 23 70.9
"76" 63.9 174.5 31 76.1
"77" 72 177.5 26 81
"78" 56.8 170.5 23 72
"79" 74.5 182.4 24 76.8
"80" 90.9 197.1 24 86
"81" 93 180.1 34 98.5
"82" 80.9 175.5 21 79
"83" 72.7 180.6 25 77.5
"84" 68 184.4 34 75.2
"86" 72.5 180.6 40 79.6
"87" 72.5 177 21 75.2
"90" 73 176.5 29 79.9
"91" 70.2 175 27 73.5
"93" 70.5 165.1 26 81.5
"95" 102.3 192 37 104
"96" 68.4 176.5 38 76.2
"98" 75.7 182.1 21 81
"99" 84.5 179.8 24 88.8
"100" 87.7 175.3 45 94
"101" 86.4 184.9 25 83.4
"102" 73.2 177.3 22 77
"105" 55.5 168.9 20 68
"106" 58.4 157.2 20 80.6
"107" 83.2 180.3 32 88.6
"108" 72.7 170.2 23 81.1
"109" 64.1 177.8 25 70.8
"110" 72.3 172.7 27 73.3
"111" 65 165.1 21 75.9
"113" 65 165.1 25 75
"114" 88.6 174 38 101
"115" 84.1 175.3 44 90
"116" 66.8 185.4 27 75
"117" 75.5 177.8 37 75.9
"120" 58 177.8 25 67.1
"121" 79.5 177.8 21 82.5
"122" 78.6 177.8 30 83.7
"123" 71.8 177.8 26 76.7
"125" 72.2 163.8 33 90.6
"126" 83.6 188 29 85.7
"127" 85.5 198.1 27 82.5
"128" 90.9 175.3 34 94.7
"129" 85.9 166.4 42 105.2
"130" 89.1 190.5 29 86
"131" 75 166.4 41 90.9
"132" 77.7 177.8 43 92.4
"133" 86.4 179.7 43 96.5
"134" 90.9 172.7 29 98.4
"135" 73.6 190.5 27 76.7
"136" 76.4 185.4 62 94.8
"137" 69.1 168.9 33 80.1
"138" 84.5 167.6 45 97.4
"140" 69.1 170.2 20 76.1
"141" 108.6 190.5 22 95.6
"142" 86.4 177.8 51 101
"143" 80.9 190.5 34 84.5
"144" 87.7 177.8 44 98
"146" 80.2 176.5 34 87.8
"148" 71.4 180.3 28 81.8
"149" 72.7 171.4 31 84.4
"151" 76.8 172.7 42 90
"152" 63.6 177.8 29 72.9
"153" 80.9 177.8 31 81
"155" 85.5 170.2 27 93.9
"156" 68.6 167.6 25 77
"157" 67.7 175.3 24 75
"158" 66.4 165.1 33 80.6
"159" 102.3 185.4 45 100.5
"160" 70.5 181.6 37 81.2
"161" 95.9 172.7 44 103.4
"162" 84.1 190.5 34 90.3
"164" 71.8 175.3 43 86.5
"165" 65.9 170.2 24 77.9
"166" 95.9 193 22 89.1
"167" 91.4 171.4 38 93.9
"169" 96.8 177.8 29 98.5
"170" 69.1 167.6 25 79.5
"171" 82.7 167.6 37 94.9
"172" 75.5 180.3 30 76.5
"173" 79.5 182.9 26 88.4
"174" 73.6 176.5 35 84.2
"175" 91.8 186.7 29 87.6
"177" 85.9 188 37 92.1
"178" 81.8 177.8 34 89.9
"179" 82.5 174 28 88.7
"180" 80.5 177.8 27 83.9
"181" 70 171.4 32 79.5
"182" 81.8 185.4 28 84.5
"183" 84.1 185.4 22 89.2
"184" 90.5 188 44 90.7
"185" 91.4 188 25 88.8
"186" 89.1 182.9 49 103.6
"187" 85 176.5 54 98.5
"188" 69.1 175.3 49 82.9
"189" 73.6 175.3 60 90.5
"190" 80.5 188 42 84.5
"191" 82.7 188 52 86
"192" 86.4 175.3 23 84.2
"194" 92.7 179.1 46 112.1
"195" 93.6 177.8 43 99.7
"197" 75 182.9 21 80.3
"198" 93.2 170.8 18 98.6
"199" 93.2 188 21 90
"201" 61.4 177.8 22 80.2
"204" 83.6 185.4 29 81
"205" 85.5 180.3 40 88.8
"206" 73.9 174 24 78.1
"207" 66.8 167.6 62 81.5
"208" 87.3 182.9 26 87.6
"209" 72.3 160 35 92.5
"210" 88.6 180.3 37 97
"212" 101.4 186.7 25 99.5
"213" 91.1 175.3 30 93.8
"214" 67.3 175.3 32 79.1
"215" 77.7 175.9 27 85.8
"219" 76.6 177.8 19 79.7
"220" 85 182.9 43 86.1
"221" 102.5 177.8 28 113.2
"222" 77.3 184.2 39 79.5
"223" 71.8 179.1 30 85.4
"224" 87.9 176.5 36 97.9
"225" 94.3 188 48 94.7
"226" 70.9 174 48 86.1
"227" 64.5 167.6 53 84.9
"229" 72.3 167.6 39 83.7
"230" 87.3 188 43 97.8
"231" 80 174 65 98.6
"232" 82.3 176.5 45 89.5
"233" 73.6 180.3 37 82.9
"234" 74.1 167.6 55 90.1
"235" 85.9 188 33 78.9
"236" 73.2 180.3 25 80.7
"237" 76.3 167.6 35 94.3
"238" 65.9 183 28 70.2
"239" 90.9 183 26 83.6
"240" 89.1 179.1 43 91.9
"241" 62.3 170.2 30 71.8
"242" 82.7 177.8 26 85
"243" 79.1 179.1 51 85.7
"245" 84.1 177.8 24 82.4
"246" 83.2 180.3 35 86.3
"249" 59 167.5 20 61.5
"251" 63 157 25 78
"253" 59 170 23 66.5
"254" 47.6 159.1 26 58
"255" 69.8 166 22 74.5
"257" 75.2 160.2 40 90.5
"258" 55.2 172.5 32 66.5
"260" 62.5 172.9 25 69.5
"261" 42 153.4 29 62
"262" 50 160 22 63.4
"264" 49.2 168.2 23 59
"265" 73.2 175 37 74
"267" 68.8 167.6 23 75
"268" 50.6 159.5 25 65
"270" 57.2 166.8 24 70.2
"271" 87.8 176.5 29 85
"272" 72.8 170.2 22 75
"273" 54.5 174 30 63
"274" 59.8 173 23 70
"275" 67.3 179.9 38 72.6
"277" 47 160 19 61
"278" 46.2 154.4 46 64.2
"279" 55 162 20 63.1
"280" 83 176.5 22 85
"281" 54.4 160 25 66
"282" 45.8 152 21 65
"283" 53.6 162.1 23 63.2
"285" 52.1 160.2 29 68
"286" 67.9 161.3 19 75.7
"287" 56.6 166.4 21 65.5
"288" 62.3 168.9 23 66.9
"289" 58.5 163.8 24 67.9
"290" 54.5 167.6 20 67.8
"291" 50.2 160 19 63.2
"292" 60.3 161.3 20 73.1
"293" 58.3 167.6 19 65.3
"294" 56.2 165.1 20 65.6
"295" 50.2 160 19 62.7
"296" 72.9 170 22 81.8
"297" 59.8 157.5 39 72.1
"298" 61 167.6 18 68.6
"299" 69.1 160.7 19 80
"300" 55.9 163.2 26 64.9
"301" 46.5 152.4 20 61.7
"305" 60 165.5 21 69.5
"307" 60.3 164.5 23 69.8
"308" 52.7 156 37 69
"309" 74.3 160 19 81
"310" 62 163 25 71
"311" 73.1 165.7 20 73.6
"312" 80 161 41 96.3
"313" 54.7 162 26 65
"315" 75.7 174 47 83
"316" 61.1 172.7 19 67.6
"317" 55.7 167.6 44 65.4
"318" 48.7 151.1 35 61.6
"319" 52.3 164.5 32 63.2
"320" 50 163.5 46 59.4
"321" 59.3 152 22 62.7
"322" 62.5 169 49 66.6
"323" 55.7 164 52 64.6
"324" 54.8 161.2 25 65.7
"325" 45.9 155 48 63
"328" 69.4 170 30 68.5
"330" 64.8 170.3 24 69
"331" 71.6 164.1 23 78
"332" 52.8 169.5 30 62
"333" 59.8 163.2 23 65.8
"334" 49 154.5 45 65
"335" 50 159.8 20 64.9
"336" 69.2 173.2 20 71.5
"338" 63.4 161.4 21 75.4
"339" 58.2 169 28 67.2
"341" 45.7 159.4 24 57.9
"342" 52.2 162.5 25 64.4
"343" 48.6 159 19 62.3
"345" 55.6 159 29 68
"346" 66.8 179.8 24 66
"347" 59.4 162.9 24 71.2
"348" 53.6 161 25 64.8
"351" 69 168.9 20 75
"352" 58.4 173.2 32 68.6
"353" 56.2 171.8 25 67.1
"354" 70.6 178 19 68
"355" 59.8 164.3 23 71
"356" 72 163 22 76
"357" 65.2 168.5 20 70.3
"358" 56.6 166.8 27 69.5
"359" 105.2 172.7 34 101.5
"360" 51.8 163.5 25 67.2
"361" 63.4 169.4 26 68.7
"362" 59 167.8 19 66
"363" 47.6 159.5 26 67.5
"365" 55.2 161.2 20 64.2
"366" 45 160 21 61
"367" 54 163.2 18 60.2
"368" 50.2 162.2 19 62.6
"370" 44.8 149.5 26 58.5
"371" 58.8 157.5 36 67.5
"372" 56.4 163.2 20 66.1
"375" 67.2 156.5 32 90.1
"376" 53.8 164 23 64.1
"377" 54.4 160.9 20 72.4
"378" 58 162.8 20 71
"380" 54.8 160 23 66.1
"381" 43.2 160 20 59.5
"383" 46.4 158.2 23 65
"384" 64.4 156 19 71.5
"386" 62.2 167.1 19 70
"387" 55.5 158 29 70.4
"388" 57.8 167.6 32 64.3
"389" 54.6 156 20 66
"390" 59.2 162.1 28 70.5
"391" 52.7 173.4 36 62
"392" 53.2 159.8 22 67.6
"393" 64.5 170.5 20 65
"394" 51.8 159.2 22 64
"395" 56 157.5 32 70.5
"397" 63.2 162.6 40 71.1
"398" 59.5 160 42 74.7
"399" 56.8 168.9 40 62.9
"401" 50 162.6 30 61.6
"402" 72.3 165.1 28 74.2
"403" 55 166.4 37 65.5
"405" 60.4 152.4 45 72.9
"406" 69.1 170.2 35 72.1
"407" 84.5 162.6 41 93.4
"408" 55.9 170.2 27 60.7
"410" 69.5 172.7 24 75.5
"411" 76.4 167.6 36 85.6
"414" 58.6 156.2 64 73.7
"415" 66.8 175.2 21 67.9
"416" 56.6 172.1 32 71.2
"417" 58.6 162.6 35 69.3
"418" 55.9 160 41 75.6
"422" 56.8 165.1 24 66
"423" 60 177.8 23 68.3
"424" 58.2 165.1 41 63.8
"425" 72.7 175.3 44 73.6
"426" 54.1 154.9 53 76.3
"427" 49.1 158.8 19 58.8
"428" 75.9 172.7 24 78
"429" 55 168.9 25 64.5
"431" 55 167.6 34 62.5
"432" 65.5 165.1 32 77.5
"433" 65.5 175.3 24 70
"435" 58.6 163.8 31 68.3
"437" 55.2 165.1 36 68.3
"438" 62.7 165.1 32 72
"439" 56.6 168.9 39 62.7
"440" 53.9 162.6 37 58
"441" 63.2 164.5 52 72.7
"442" 73.6 176.5 24 85.4
"443" 62 168.9 33 67.3
"444" 63.6 175.3 42 70.8
"445" 53.2 159.4 34 67.4
"446" 53.4 160 37 66
"447" 55 170.2 39 63.6
"448" 70.5 162.6 41 71.7
"450" 54.5 162.6 19 66.9
"451" 55.9 160.7 22 65.5
"452" 59 160 23 70.4
"455" 47.3 152.4 25 60.4
"456" 67.7 170.2 67 75.3
"457" 80.9 165.1 26 83.4
"458" 70.5 172.7 21 72.2
"459" 60.9 165.1 33 70.1
"460" 63.6 170.2 25 69.8
"461" 54.5 170.2 24 66.4
"462" 59.1 170.2 21 61.7
"464" 52.7 167.6 27 63.8
"465" 62.7 167.6 27 70.2
"467" 66.4 162.6 25 75.8
"468" 67.3 152.4 44 81.5
"469" 63 168.9 29 67.4
"470" 73.6 170.2 26 78.3
"471" 62.3 175.2 23 65.9
"472" 57.7 175.2 32 62.4
"473" 55.4 160 32 65.6
"474" 104.1 165.1 43 96.2
"476" 77.3 170.2 41 80.5
"478" 64.5 167.6 28 71.3
"480" 61.4 167.6 25 72.3
"481" 58.2 154.9 38 67.4
"483" 63.6 175.3 25 67
"484" 53.4 171.4 37 69.5
"485" 54.5 157.5 27 66.4
"486" 53.6 165.1 27 67.6
"487" 60 160 20 66.6
"488" 73.6 174 19 69.7
"489" 61.4 162.6 32 72
"490" 55.5 174 26 64.5
"492" 60.9 161.3 23 69.1
"493" 60 156.2 19 74.7
"494" 46.8 149.9 31 60.8
"496" 64.1 160 34 68.8
"497" 63.6 175.3 24 63.7
"498" 67.3 169.5 22 71.2
"500" 68.2 172.7 30 77.9
"501" 61.4 162.6 32 69.6
"502" 76.8 157.5 40 86
"503" 71.8 176.5 29 69.9
"507" 67.3 163.8 38 80.4
